seq,batch,collection,id,group,unit
1,1,terms,squeeze-theorem,微積分:極限,jp-suugaku-3-kyokugen
2,1,terms,limit,微積分:極限,jp-suugaku-3-kyokugen
3,1,terms,rational-function,微積分:極限,jp-suugaku-3-kyokugen
4,1,terms,radical-function,微積分:極限,jp-suugaku-3-kyokugen
5,1,terms,composite-function,微積分:極限,jp-suugaku-3-kyokugen
6,1,terms,convergence,微積分:極限,jp-suugaku-3-kyokugen
7,1,terms,divergence,微積分:極限,jp-suugaku-3-kyokugen
8,1,terms,diverge-to-positive-infinity,微積分:極限,jp-suugaku-3-kyokugen
9,1,terms,diverge-to-negative-infinity,微積分:極限,jp-suugaku-3-kyokugen
10,1,terms,oscillate,微積分:極限,jp-suugaku-3-kyokugen
11,1,terms,infinity,微積分:極限,jp-suugaku-3-kyokugen
12,1,terms,comparison-for-divergence,微積分:極限,jp-suugaku-3-kyokugen
13,1,terms,infinite-geometric-sequence,微積分:極限,jp-suugaku-3-kyokugen
14,1,terms,infinite-series,微積分:極限,jp-suugaku-3-kyokugen
15,1,terms,sum-of-the-series,微積分:極限,jp-suugaku-3-kyokugen
16,1,terms,right-hand-limit,微積分:極限,jp-suugaku-3-kyokugen
17,1,terms,left-hand-limit,微積分:極限,jp-suugaku-3-kyokugen
18,1,terms,one-sided-limit,微積分:極限,jp-suugaku-3-kyokugen
19,1,terms,as-x-approaches-infinity,微積分:極限,jp-suugaku-3-kyokugen
20,1,terms,as-x-approaches-a,微積分:極限,jp-suugaku-3-kyokugen
21,1,terms,the-limit-does-not-exist,微積分:極限,jp-suugaku-3-kyokugen
22,1,terms,indeterminate-form,微積分:極限,jp-suugaku-3-kyokugen
23,1,terms,continuous,微積分:極限,jp-suugaku-3-kyokugen
24,1,terms,discontinuous,微積分:極限,jp-suugaku-3-kyokugen
25,1,terms,continuous-function,微積分:極限,jp-suugaku-3-kyokugen
26,1,terms,intermediate-value-theorem,微積分:極限,jp-suugaku-3-kyokugen
27,1,terms,extreme-value-theorem,微積分:極限,jp-suugaku-3-kyokugen
28,1,terms,limit-of-sine-x-over-x,微積分:極限,jp-suugaku-3-kyokugen
29,1,terms,base-of-the-natural-logarithm,微積分:極限,jp-suugaku-3-kyokugen
30,1,terms,find-the-limit,微積分:極限,jp-suugaku-3-kyokugen
31,1,terms,approaches,微積分:極限,jp-suugaku-3-kyokugen
32,1,terms,limit-laws,微積分:極限,jp-suugaku-3-kyokugen
33,1,terms,find-the-domain,微積分:極限,jp-suugaku-3-kyokugen
34,1,terms,find-the-asymptotes,微積分:極限,jp-suugaku-3-kyokugen
35,1,terms,find-the-inverse,微積分:極限,jp-suugaku-3-kyokugen
36,1,terms,compose,微積分:極限,jp-suugaku-3-kyokugen
37,1,terms,one-to-one,微積分:極限,jp-suugaku-3-kyokugen
38,1,terms,bounded,微積分:極限,jp-suugaku-3-kyokugen
39,1,terms,monotonic,微積分:極限,jp-suugaku-3-kyokugen
40,1,terms,squeeze,微積分:極限,jp-suugaku-3-kyokugen
41,1,terms,removable-discontinuity,微積分:極限,us-ap-calculus-ab-1-limits
42,1,terms,infinite-limit,微積分:極限,us-ap-calculus-ab-1-limits
43,1,terms,limit-at-infinity,微積分:極限,us-ap-calculus-ab-1-limits
44,1,terms,jump-discontinuity,微積分:極限,us-ap-calculus-ab-1-limits
45,1,terms,infinite-discontinuity,微積分:極限,us-ap-calculus-ab-1-limits
46,1,terms,epsilon-delta-definition,微積分:極限,us-ap-calculus-ab-1-limits
47,1,terms,asymptote,微積分:極限,us-ap-calculus-ab-1-limits
48,1,terms,continuity,微積分:極限,us-ap-calculus-ab-1-limits
49,1,terms,take-the-limit,微積分:極限,us-ap-calculus-ab-1-limits
50,1,terms,tangent-problem,微積分:極限,us-calculus-1-limits
51,2,terms,area-problem,微積分:極限,us-calculus-1-limits
52,2,terms,area-under-the-curve,微積分:極限,us-precalculus-limits
53,2,terms,tangent-line,微積分:極限,us-precalculus-limits
54,2,terms,derivative-at-a-point,微積分:微分,jp-suugaku-2-bibun-no-kangae
