id,summary,term_refs,source,category,appendix_b,merged_from,related
therefore-because-symbols,日本の答案は ∴（ゆえに）∵（なぜならば）を多用する。米国の教科書は記号として書くことが少なく（OpenStax・CED でほぼ 0 回）、so・therefore・since と言葉で書く。,,"editorial|OpenStax Algebra and Trigonometry 2e|College Board, AP Calculus AB and BC Course and Exam Description (Effective Fall 2020)|既存 data/conventions",proof-style,5,,therefore-sign|because-sign
inequality-symbols,日本の教科書・答案は ≦ ≧ を使う。米国の教科書は ≤ ≥ を使う。,greater-than-or-equal-to|less-than-or-equal-to|inequality-sign|inequality|domain-and-range|linear-inequality,OpenStax|editorial|既存 data/conventions,notation,1,,leq-sign|geq-sign
slope-intercept-form,日本は一次関数を y = ax + b と書き a を傾きと呼び、直線の式の形に名前を付けない。米国は y = mx + b と書き m を slope と呼び、slope-intercept form・point-slope form・standard form と形の名前で指示する。,equation-of-a-line|linear-function|point-slope-form|slope|slope-intercept-form-of-a-line,OpenStax Elementary Algebra|editorial|既存 data/conventions,notation,3,,
similarity-symbol,日本は相似を ∽ で書く。米国は ~ で書く（△ABC ~ △DEF）。,aa-similarity|ratio-of-areas-of-similar-figures|similar-triangles|similar,editorial,notation,,,similar-sign
congruence-symbol,日本は合同を ≡ で書く。米国は ≅ で書き、≡ は恒等式や整数の合同（mod）に使う。,congruent|corresponding-angles-of-congruent-figures|corresponding-sides,editorial,notation,,,congruent-sign
figure-and-measure-notation,日本は ∠A = ∠B・AB = CD のように図形の記号にそのまま等号を使い、線分・直線は「線分 AB」「直線 AB」と言葉で書く。米国の Geometry は図形どうしを ≅（∠A ≅ ∠B、vertical angles are congruent）、大きさを m∠A = 85° や横線なしの AB（長さ）の = で書き分け、線分は AB の上に横線、直線は両向きの矢印を付けて書く。,angle|angle-addition-postulate|equal|equal-angles|isosceles-triangle-theorem|measure|quadrilateral|line|segment|vertical-angles|tangent-segments-are-equal,CK-12 Geometry 1.16|CK-12 Geometry 6.18|editorial,notation,,,measure-of-angle|segment-ab-overline|length-ab|line-ab-arrow
arc-measure-notation,日本は弧の大きさを中心角で言い（弧 AB = 弧 CD、円周角は同じ弧に対する中心角の半分）。米国は弧に度数（arc measure、m 弧 AB）を持たせて「円周角は intercepted arc の半分」と言い、等しい弧を congruent arcs、劣弧を 2 文字・優弧を 3 文字（arc ACB）で書き分ける。,arc-measure|congruent-arcs|intercepted-arc|major-arc|minor-arc,CK-12 Geometry 6.9|CK-12 Geometry 6.14|CK-12 Geometry 6.16,notation,,,arc-ab
conditional-probability-notation,日本は条件付き確率を P_A(B) と書く。米国は P(B | A) と書いて B given A と読み、A と B を書く順が逆になる。,conditional-probability|general-multiplication-rule,OpenStax Introductory Statistics|editorial,notation,,,conditional-probability-bar|conditional-probability-subscript-jp
complement-bar-vs-c-prime,日本は補集合・余事象を Ā と書く。英語の本は A^c や A′ も使う（本による）。,complement|complementary-event|set|venn-diagram,editorial,notation,,,complement-notation
combination-permutation-notation,"日本は ₙCᵣ・ₙPᵣ と書く。米国は C(n, r) や縦に並べた (n r)（n choose r と読む）、P(n, r) も使う。",combination|binomial-coefficient|binomial-identities|binomial-probability|choose|permutation,editorial,notation,15,,permutation-npr|combination-ncr
repeated-combination-notation,日本は重複組合せを ₙHᵣ と書く（日本の教科書だけの記号）。英語は ₙ₊ᵣ₋₁Cᵣ と二項係数で書き、〇と仕切りの数え方を stars and bars と呼ぶ。,combination-with-repetition,Levin 3.5,notation,15,,repeated-combination-h-jp
log-and-ln,日本の数III は自然対数を log x と書き（∫1/x dx = log|x| + C）、数II の常用対数は log₁₀ x と底を書く。米国は自然対数を ln x と書き、底を省いた log x は常用対数。,base-of-the-natural-logarithm|common-logarithm|derivative-of-the-exponential-function|derivative-of-the-logarithm|diverge-to-negative-infinity|indefinite-integral|integration-formulas|logarithm|natural-logarithm|partial-fraction-decomposition|separable-differential-equation|take-the-log-of-both-sides,OpenStax Algebra and Trigonometry|editorial,notation,4,,common-log-notation|natural-log-ln|log-e-jp
reciprocal-trig-functions,日本の高校は sec・csc・cot を使わず 1/cos θ・1/tan θ と書き、sin²θ + cos²θ = 1 は「相互関係」の 1 つとして名前なしで扱う。米国は sec・csc・cot を定義して使い（(tan x)′ = sec²x、1 + tan²θ = sec²θ）、3 つの式をまとめて Pythagorean identities と呼ぶ。,cosecant|cotangent|cofunction-identity|derivatives-of-trigonometric-functions|secant|trigonometric-function|trigonometric-identities|trigonometric-integrals|trigonometric-substitution|pythagorean-identity,OpenStax Algebra and Trigonometry|editorial,notation,11,,secant-of-theta|cosecant-of-theta|cotangent-of-theta
inverse-trig-functions,日本の高校は逆三角関数を扱わず、∫dx/(1 + x²) は x = tan θ と置換して定積分の値だけを求める。米国は Precalculus で扱い、Calc で arctan x + C などを公式として使って微分もし、記号は sin⁻¹ x と arcsin x の両方を使う（sin⁻¹ x は 1/sin x ではない）。,derivatives-of-inverse-trig-functions|arctangent|arcsine|inverse-trigonometric-function|integrals-giving-inverse-trig-functions|integration-by-completing-the-square,OpenStax Algebra and Trigonometry|OpenStax Calculus Volume 1|CED topic 3.3|CED topic 6.10|editorial,terminology,12,,inverse-sine-notation|inverse-cosine-notation|inverse-tangent-notation
calculator-instead-of-tables,日本は三角比の表・正規分布表・乱数表を引いて値を求め、指数回帰は扱わない。米国は電卓の sin⁻¹ キー・normalcdf・random number generator、グラフ電卓の ExpReg を使って求める。,arcsine|exponential-regression|random-number-table|random-number|standard-normal-table,OpenStax Introductory Statistics|editorial,calculator,24,,
normal-table-format,日本の数B の正規分布表は P(0 ≤ Z ≤ u) を載せる形が多い。米国（OpenStax）の表は z より左側の面積を載せる。,standard-normal-table,OpenStax Introductory Statistics,notation,,,
vector-notation,"日本はベクトルを文字の上の矢印で書き、成分を (a₁, a₂) と丸かっこで書く。米国の教科書は太字（手書きでは上の矢印）で書き、成分を ⟨a₁, a₂⟩ と山かっこで書いて点の座標と区別する。",component-form|vector,OpenStax Calculus Volume 3|editorial,notation,16,,vector-arrow-notation|angle-bracket-vector
standard-unit-vector-letters,"日本は基本ベクトルを e₁, e₂, e₃ と書く。米国は i, j, k と書く。",standard-unit-vectors|unit-vector,OpenStax Calculus Volume 3,letters,,,unit-vector-hat
interval-notation-vs-inequalities,"日本の高校は範囲や解を 0 ≦ x ≦ 3、x < −2, 2 < x のように不等式と読点で書き、区間の記号は使わない。米国は Algebra 1 から [0, 3]・(2, 3)・[1, ∞) の区間記法で答えさせ（角括弧は端を含み丸括弧は含まない）、「または」は or と書く。",closed-interval|interval-notation|interval|find-the-domain|domain-and-range|endpoint|solution-set|set-builder-notation|quadratic-inequality,OpenStax Elementary Algebra|OpenStax Algebra and Trigonometry|editorial,notation,17,,closed-interval-brackets|open-interval-parentheses|half-open-interval
increase-decrease-table-vs-sign-chart,"日本は x・f′(x)・f(x) の行と矢印の増減表 1 つで増減・極値・閉区間の最大最小を調べ、判定法に名前を付けない。米国は増減表の定型を使わず、f′ の符号を区間ごとに書く sign chart（代入する点は test point）で調べて first derivative test・Candidates Test と名前で呼び、答えは increasing on (−1, 0) のように区間で書いて理由（justification）を文で添える。",determine-where-the-function-is-increasing-and-decreasing|candidates-test|first-derivative-test|make-a-sign-chart|sign-chart|sign-chart-inequality|test-point,CED Unit 5|CED topic 5.4|CED topic 5.5|CED topic 5.6|CED Unit 9|OpenStax Calculus Volume 1|editorial,proof-style,14,,
