level_jp,area,item,kind,source
中1,A 数と式,自然数,用語,中学校学習指導要領（平成29年告示）
中1,A 数と式,素数,用語,中学校学習指導要領（平成29年告示）
中1,A 数と式,符号,用語,中学校学習指導要領（平成29年告示）
中1,A 数と式,絶対値,用語,中学校学習指導要領（平成29年告示）
中1,A 数と式,項,用語,中学校学習指導要領（平成29年告示）
中1,A 数と式,係数,用語,中学校学習指導要領（平成29年告示）
中1,A 数と式,移項,用語,中学校学習指導要領（平成29年告示）
中1,A 数と式,≦,記号,中学校学習指導要領（平成29年告示）
中1,A 数と式,≧,記号,中学校学習指導要領（平成29年告示）
中1,B 図形,弧,用語,中学校学習指導要領（平成29年告示）
中1,B 図形,弦,用語,中学校学習指導要領（平成29年告示）
中1,B 図形,回転体,用語,中学校学習指導要領（平成29年告示）
中1,B 図形,ねじれの位置,用語,中学校学習指導要領（平成29年告示）
中1,B 図形,π,記号,中学校学習指導要領（平成29年告示）
中1,B 図形,//,記号,中学校学習指導要領（平成29年告示）
中1,B 図形,⊥,記号,中学校学習指導要領（平成29年告示）
中1,B 図形,∠,記号,中学校学習指導要領（平成29年告示）
中1,B 図形,△,記号,中学校学習指導要領（平成29年告示）
中1,C 関数,関数,用語,中学校学習指導要領（平成29年告示）
中1,C 関数,変数,用語,中学校学習指導要領（平成29年告示）
中1,C 関数,変域,用語,中学校学習指導要領（平成29年告示）
中1,D データの活用,範囲,用語,中学校学習指導要領（平成29年告示）
中1,D データの活用,累積度数,用語,中学校学習指導要領（平成29年告示）
中2,A 数と式,同類項,用語,中学校学習指導要領（平成29年告示）
中2,B 図形,対頂角,用語,中学校学習指導要領（平成29年告示）
中2,B 図形,内角,用語,中学校学習指導要領（平成29年告示）
中2,B 図形,外角,用語,中学校学習指導要領（平成29年告示）
中2,B 図形,定義,用語,中学校学習指導要領（平成29年告示）
中2,B 図形,証明,用語,中学校学習指導要領（平成29年告示）
中2,B 図形,逆,用語,中学校学習指導要領（平成29年告示）
中2,B 図形,反例,用語,中学校学習指導要領（平成29年告示）
中2,B 図形,≡,記号,中学校学習指導要領（平成29年告示）
中2,C 関数,変化の割合,用語,中学校学習指導要領（平成29年告示）
中2,C 関数,傾き,用語,中学校学習指導要領（平成29年告示）
中3,A 数と式,根号,用語,中学校学習指導要領（平成29年告示）
中3,A 数と式,有理数,用語,中学校学習指導要領（平成29年告示）
中3,A 数と式,無理数,用語,中学校学習指導要領（平成29年告示）
中3,A 数と式,因数,用語,中学校学習指導要領（平成29年告示）
中3,A 数と式,√,記号,中学校学習指導要領（平成29年告示）
中3,B 図形,∽,記号,中学校学習指導要領（平成29年告示）
中3,D データの活用,全数調査,用語,中学校学習指導要領（平成29年告示）
数I,図形と計量,正弦,用語,高等学校学習指導要領（平成30年告示）
数I,図形と計量,余弦,用語,高等学校学習指導要領（平成30年告示）
数I,図形と計量,正接,用語,高等学校学習指導要領（平成30年告示）
数I,図形と計量,sin,記号,高等学校学習指導要領（平成30年告示）
数I,図形と計量,cos,記号,高等学校学習指導要領（平成30年告示）
数I,図形と計量,tan,記号,高等学校学習指導要領（平成30年告示）
数I,データの分析,外れ値,用語,高等学校学習指導要領（平成30年告示）
数II,いろいろな式,二項定理,用語,高等学校学習指導要領（平成30年告示）
数II,いろいろな式,虚数,用語,高等学校学習指導要領（平成30年告示）
数II,いろいろな式,i,記号,高等学校学習指導要領（平成30年告示）
数II,指数関数・対数関数,累乗根,用語,高等学校学習指導要領（平成30年告示）
数II,指数関数・対数関数,常用対数,用語,高等学校学習指導要領（平成30年告示）
数II,指数関数・対数関数,log_a x,記号,高等学校学習指導要領（平成30年告示）
数II,微分・積分の考え,極限値,用語,高等学校学習指導要領（平成30年告示）
数II,微分・積分の考え,lim,記号,高等学校学習指導要領（平成30年告示）
数III,極限,∞,記号,高等学校学習指導要領（平成30年告示）
数III,微分法,自然対数,用語,高等学校学習指導要領（平成30年告示）
数III,微分法,変曲点,用語,高等学校学習指導要領（平成30年告示）
数III,微分法,e,記号,高等学校学習指導要領（平成30年告示）
数A,場合の数と確率,階乗,用語,高等学校学習指導要領（平成30年告示）
数A,場合の数と確率,排反,用語,高等学校学習指導要領（平成30年告示）
数A,場合の数と確率,nPr,記号,高等学校学習指導要領（平成30年告示）
数A,場合の数と確率,nCr,記号,高等学校学習指導要領（平成30年告示）
数A,場合の数と確率,n!,記号,高等学校学習指導要領（平成30年告示）
数B,数列,Σ,記号,高等学校学習指導要領（平成30年告示）
数B,統計的な推測,信頼区間,用語,高等学校学習指導要領（平成30年告示）
数B,統計的な推測,有意水準,用語,高等学校学習指導要領（平成30年告示）
数C,平面上の曲線と複素数平面,焦点,用語,高等学校学習指導要領（平成30年告示）
数C,平面上の曲線と複素数平面,準線,用語,高等学校学習指導要領（平成30年告示）
