id,ja,en,pos,unit,level_jp,level_us,from,note
dont-forget-the-plus-c,積分定数を忘れない,don't forget the plus C,phrase,jp-suugaku-2-sekibun-no-kangae,数II,AP Calculus AB|Calculus I,4d47e6f:data/terms/dont-forget-the-plus-c.json,
top-minus-bottom,上の曲線から下の曲線を引く,top minus bottom,phrase,jp-suugaku-2-sekibun-no-kangae,数II,AP Calculus AB|Calculus I,4d47e6f:data/terms/top-minus-bottom.json,subtract the lower curve from the upper curve
area-is-never-negative,面積が負にならない,area is never negative,phrase,jp-suugaku-2-sekibun-no-kangae,数II,AP Calculus AB|Calculus I,4d47e6f:data/terms/area-is-never-negative.json,
check-by-differentiating,微分して確かめる,check by differentiating,phrase,jp-suugaku-3-sekibun,数III,AP Calculus BC|Calculus II,4d47e6f:data/terms/check-by-differentiating.json,
add-up-thin-disks,薄い円板を足し合わせる,add up thin disks,phrase,jp-suugaku-3-sekibun,数III,AP Calculus BC|Calculus II,4d47e6f:data/terms/add-up-thin-disks.json,
find-the-intersections-to-get-the-limits,交点を求めて積分区間を決める,find the intersections to get the limits,phrase,jp-suugaku-2-sekibun-no-kangae,数II,AP Calculus AB|Calculus I,4d47e6f:data/terms/find-the-intersections-to-get-the-limits.json,
split-the-integral,積分区間を分ける,split the integral,phrase,jp-suugaku-2-sekibun-no-kangae,数II,AP Calculus AB|Calculus I,4d47e6f:data/terms/split-the-integral.json,
write-as-a-limit-of-a-sum,和の極限として表す,write as a limit of a sum,phrase,jp-suugaku-3-sekibun,数III,AP Calculus BC|Calculus II,4d47e6f:data/terms/write-as-a-limit-of-a-sum.json,
integrate-the-inequality,不等式を積分する,integrate the inequality,phrase,jp-suugaku-3-sekibun,数III,AP Calculus BC|Calculus II,4d47e6f:data/terms/integrate-the-inequality.json,
the-area-of-the-region-bounded-by,〜で囲まれた図形の面積,the area of the region bounded by,phrase,jp-suugaku-2-sekibun-no-kangae,数II,AP Calculus AB|Calculus I,4d47e6f:data/terms/the-area-of-the-region-bounded-by.json,
enclosed-region,囲まれた部分,enclosed region,noun,jp-suugaku-2-sekibun-no-kangae,数II,AP Calculus AB|Calculus I,4d47e6f:data/terms/enclosed-region.json,the region bounded by
find-the-area-by-integration,面積を積分で求める,find the area by integration,phrase,jp-suugaku-3-sekibun,数III,AP Calculus BC|Calculus II,4d47e6f:data/terms/find-the-area-by-integration.json,
integrate-by-parts-repeatedly,何回か部分積分する,integrate by parts repeatedly,phrase,jp-suugaku-3-sekibun,数III,AP Calculus BC|Calculus II,4d47e6f:data/terms/integrate-by-parts-repeatedly.json,
let-h-go-to-zero,h を 0 に近づける,let h go to zero,phrase,jp-suugaku-2-bibun-no-kangae,数II,AP Calculus AB|Calculus I,,as h approaches 0
the-tangent-line-passes-through,接線が通る,the tangent line passes through,phrase,jp-suugaku-2-bibun-no-kangae,数II,AP Calculus AB|Calculus I,,
increasing-on-all-reals,すべての実数で増加,increasing on all reals,phrase,jp-suugaku-2-bibun-no-kangae,数II,AP Calculus AB|Calculus I,,
converges-to-zero,0 に収束する,converges to zero,phrase,jp-suugaku-3-kyokugen,数III,AP Calculus AB|Calculus I,,
divide-numerator-and-denominator-by-n,分母と分子を n で割る,divide numerator and denominator by n,phrase,jp-suugaku-3-kyokugen,数III,AP Calculus AB|Calculus I,,
rationalize-and-take-the-limit,有理化して極限を求める,rationalize and take the limit,phrase,jp-suugaku-3-kyokugen,数III,AP Calculus AB|Calculus I,,
the-function-is-continuous,関数が連続である,the function is continuous,phrase,jp-suugaku-3-kyokugen,数III,AP Calculus AB|Calculus I,,
the-one-sided-limits-agree,極限が一致する,the one-sided limits agree,phrase,jp-suugaku-3-kyokugen,数III,AP Calculus AB|Calculus I,,
take-the-log-and-differentiate,対数をとって微分する,take the log and differentiate,phrase,jp-suugaku-3-bibun,数III,AP Calculus AB|Calculus I,,
differentiate-the-outside-first,外側から微分する,differentiate the outside first,phrase,jp-suugaku-3-bibun,数III,AP Calculus AB|Calculus I,,outer function times inner
multiply-by-the-derivative-of-the-inside,内側の微分を掛ける,multiply by the derivative of the inside,phrase,jp-suugaku-3-bibun,数III,AP Calculus AB|Calculus I,,
f-double-prime-is-positive,f''(x) > 0,f double prime is positive,phrase,jp-suugaku-3-bibun,数III,AP Calculus AB|Calculus I,,wiki 除外（数学カテゴリ外）: f''(x) > 0 → (en なし)。「f''(x) > 0」は数学カテゴリ配下にない
changes-from-increasing-to-decreasing,増加から減少に変わる,changes from increasing to decreasing,phrase,jp-suugaku-3-bibun,数III,AP Calculus AB|Calculus I,,
the-derivative-is-zero,微分係数が 0,the derivative is zero,phrase,jp-suugaku-3-bibun,数III,AP Calculus AB|Calculus I,,
the-tangent-line-is-horizontal,接線が水平,the tangent line is horizontal,phrase,jp-suugaku-3-bibun,数III,AP Calculus AB|Calculus I,,
continuous-but-not-differentiable,連続だが微分不可能,continuous but not differentiable,phrase,jp-suugaku-3-bibun,数III,AP Calculus AB|Calculus I,,
has-no-local-extrema,極値をもたない,has no local extrema,phrase,jp-suugaku-3-bibun,数III,AP Calculus AB|Calculus I,,
the-limit-exists,極限が存在する,the limit exists,phrase,jp-suugaku-2-bibun-no-kangae,数II,AP Calculus AB|Calculus I,,
assume-it-holds-for-n-k,n=k のとき成り立つと仮定,assume it holds for n = k,phrase,jp-suugaku-b-suuretsu,数B,Algebra 2|Precalculus,,inductive step
it-also-holds-for-n-k-1,n=k+1 のときも成り立つ,it also holds for n = k + 1,phrase,jp-suugaku-b-suuretsu,数B,Algebra 2|Precalculus,,
the-common-ratio-is-less-than-1,公比が 1 より小さい,the common ratio is less than 1,phrase,jp-suugaku-b-suuretsu,数B,Algebra 2|Precalculus,,
multiply-by-r-and-subtract,両辺に r を掛けて引く,multiply by r and subtract,phrase,jp-suugaku-b-suuretsu,数B,Algebra 2|Precalculus,,
