id,situation,ja,en,level,source,merged_from
dont-forget-the-plus-c,class-listening,積分定数の C を忘れないでね。,Don't forget the plus C. ／ Don't forget your constant of integration. ／ Remember to add C.,数II|AP Calculus AB|Calculus I,ledger/phrases-candidates.csv (4d47e6f:data/terms/dont-forget-the-plus-c.json),
top-minus-bottom,class-listening,上の曲線から下の曲線を引きます。,It's top minus bottom. ／ Subtract the lower curve from the upper curve.,数II|AP Calculus AB|Calculus I,ledger/phrases-candidates.csv (4d47e6f:data/terms/top-minus-bottom.json),
area-is-never-negative,class-listening,面積は負にはなりません。負になったらどこかで間違えています。,"Area is never negative. ／ If you get a negative area, something went wrong.",数II|AP Calculus AB|Calculus I,ledger/phrases-candidates.csv (4d47e6f:data/terms/area-is-never-negative.json),
check-by-differentiating,class-listening,微分して確かめられます。,You can always check by differentiating. ／ Take the derivative of your answer — you should get back the integrand.,数III|AP Calculus BC|Calculus II,ledger/phrases-candidates.csv (4d47e6f:data/terms/check-by-differentiating.json),
add-up-thin-disks,class-listening,薄い円板を足し合わせるイメージです。,We're adding up a bunch of thin disks. ／ Think of it as slicing the solid into thin disks and adding up their volumes.,数III|AP Calculus BC|Calculus II,ledger/phrases-candidates.csv (4d47e6f:data/terms/add-up-thin-disks.json),
find-the-intersections-to-get-the-limits,class-listening,まず交点を求めて、それを積分区間にします。,First find where the curves intersect — those are your limits of integration. ／ Set them equal to get the bounds.,数II|AP Calculus AB|Calculus I,ledger/phrases-candidates.csv (4d47e6f:data/terms/find-the-intersections-to-get-the-limits.json),
split-the-integral,class-listening,ここで積分区間を分けます。,We need to split the integral here. ／ Break it into two integrals at x = 0.,数II|AP Calculus AB|Calculus I,ledger/phrases-candidates.csv (4d47e6f:data/terms/split-the-integral.json),
write-as-a-limit-of-a-sum,class-listening,和の極限の形に書き直しましょう。,Let's write this as the limit of a sum. ／ Write it as the limit of a Riemann sum.,数III|AP Calculus BC|Calculus II,ledger/phrases-candidates.csv (4d47e6f:data/terms/write-as-a-limit-of-a-sum.json),
integrate-the-inequality,written-solution,不等式の各辺を 0 から 1 まで積分すると、,"Integrating each side of the inequality from 0 to 1, we get ／ Integrate both sides of the inequality.",数III|AP Calculus BC|Calculus II,ledger/phrases-candidates.csv (4d47e6f:data/terms/integrate-the-inequality.json),
the-area-of-the-region-bounded-by,exam,曲線 y = x² と直線 y = x + 2 で囲まれた部分の面積を求めよ。,Find the area of the region bounded by y = x^2 and y = x + 2. ／ Find the area of the region enclosed by the two curves.,数II|AP Calculus AB|Calculus I,ledger/phrases-candidates.csv (4d47e6f:data/terms/the-area-of-the-region-bounded-by.json),
find-the-area-by-integration,class-listening,面積は積分で求めます。,We'll find the area by integrating. ／ Set up an integral for the area.,数III|AP Calculus BC|Calculus II,ledger/phrases-candidates.csv (4d47e6f:data/terms/find-the-area-by-integration.json),
integrate-by-parts-repeatedly,class-listening,部分積分を 2 回やることになります。,You'll have to integrate by parts twice. ／ Just keep integrating by parts.,数III|AP Calculus BC|Calculus II,ledger/phrases-candidates.csv (4d47e6f:data/terms/integrate-by-parts-repeatedly.json),
let-h-go-to-zero,class-listening,ここで h を 0 に近づけます。,Now let h go to zero. ／ Take the limit as h approaches 0.,数II|AP Calculus AB|Calculus I,ledger/phrases-candidates.csv (from 空; unit jp-suugaku-2-bibun-no-kangae),
the-tangent-line-passes-through,written-solution,"接線が点 (0, −1) を通るので、","Since the tangent line passes through (0, −1), … ／ The tangent line goes through (0, −1).",数II|AP Calculus AB|Calculus I,ledger/phrases-candidates.csv (from 空; unit jp-suugaku-2-bibun-no-kangae),
divide-numerator-and-denominator-by-n,class-listening,分母と分子を n で割ります。,Divide the numerator and denominator by n. ／ Divide top and bottom by n.,数III|AP Calculus AB|Calculus I,ledger/phrases-candidates.csv (from 空; unit jp-suugaku-3-kyokugen),
rationalize-and-take-the-limit,class-listening,有理化してから極限をとります。,"Rationalize, then take the limit. ／ Multiply by the conjugate and then take the limit.",数III|AP Calculus AB|Calculus I,ledger/phrases-candidates.csv (from 空; unit jp-suugaku-3-kyokugen),
the-one-sided-limits-agree,written-solution,左側極限と右側極限が一致するので、,"Since the left-hand and right-hand limits are equal, … ／ The one-sided limits agree.",数III|AP Calculus AB|Calculus I,ledger/phrases-candidates.csv (from 空; unit jp-suugaku-3-kyokugen),
