id,symbol,ja_reading,en_readings,level,source,category,term_ref,note,related
plus-sign,a + b,a たす b ／ a プラス b,a plus b,中1|Pre-Algebra|Algebra 1,OpenStax 51480,arithmetic,addition,,
minus-sign,a − b,a ひく b ／ a マイナス b,a minus b,中1|Pre-Algebra|Algebra 1,OpenStax 51840,arithmetic,subtraction,二項の引き算。負の数の −3 は negative-sign,
negative-sign,−3 ／ −x,マイナス 3 ／ 負の 3 ／ マイナス x,negative three ／ minus three ／ negative x ／ the opposite of x,中1|Pre-Algebra|Algebra 1,editorial,arithmetic,negative-number,PLAN 付録 B #7。probe は minus-sign と区別できないので空,negative-vs-minus
times-sign,a × b ／ a · b ／ ab,a かける b,a times b ／ a multiplied by b,中1|Pre-Algebra|Algebra 1,OpenStax 8891|CED 2|CED-Stats 19|CK-12 429,arithmetic,multiplication,PLAN 付録 B #9。× は外積・直積・行列の型（m × n）とも共有、· は内積と共有,multiplication-sign-usage
division-sign,a ÷ b,a わる b,a divided by b,中1|Pre-Algebra,OpenStax 2370|CK-12 136,arithmetic,division,,division-sign-usage
long-division-bracket,5⟌20,20 ÷ 5 の筆算,twenty divided by five ／ five goes into twenty ／ five into twenty,中1|Pre-Algebra,editorial,arithmetic,division,記号の形は日本の筆算とほぼ同じ。goes into の読みが米国特有,division-sign-usage
equals-sign,a = b,a イコール b ／ a は b に等しい,a equals b ／ a is equal to b ／ a is b,中1|Pre-Algebra|Algebra 1,OpenStax 76969,arithmetic,equal-sign,,
not-equal-sign,a ≠ b,a ノットイコール b ／ a は b に等しくない,a is not equal to b ／ a does not equal b,数I|Pre-Algebra|Algebra 1,OpenStax 2374|CED 2|CED-Stats 10|CK-12 26,arithmetic,,,
approximately-equal-sign,a ≈ b（日本では ≒）,a ニアリーイコール b ／ a は b にほぼ等しい,a is approximately equal to b ／ a is approximately b ／ a is about b,中1|中3|Pre-Algebra|Algebra 1|Calculus I,OpenStax 2449|CED 1|CK-12 26,arithmetic,approximate-value,PLAN 付録 B #2（日本 ≒ ／ 米国 ≈）,approximately-equal-notation
less-than-sign,a < b,a 小なり b ／ a は b より小さい ／ a は b 未満,a is less than b,中1|Pre-Algebra|Algebra 1,OpenStax 2543,arithmetic,less-than,,
greater-than-sign,a > b,a 大なり b ／ a は b より大きい,a is greater than b,中1|Pre-Algebra|Algebra 1,OpenStax 1160,arithmetic,greater-than,,
leq-sign,a ≦ b（米国では a ≤ b）,a 小なりイコール b ／ a は b 以下,a is less than or equal to b ／ a is at most b,中1|Pre-Algebra|Algebra 1,学習指導要領〔用語・記号〕中1 ≦|OpenStax 7234|CED 27|CED-Stats 16|CK-12 7,arithmetic,less-than-or-equal-to,MEXT〔記号〕≦。conventions/inequality-symbols と対,inequality-symbols
geq-sign,a ≧ b（米国では a ≥ b）,a 大なりイコール b ／ a は b 以上,a is greater than or equal to b ／ a is at least b,中1|Pre-Algebra|Algebra 1,学習指導要領〔用語・記号〕中1 ≧|OpenStax 2700|CED 1|CED-Stats 11|CK-12 3,arithmetic,greater-than-or-equal-to,MEXT〔記号〕≧,inequality-symbols
compound-inequality,a < x < b,a 小なり x 小なり b ／ x は a より大きく b より小さい,x is between a and b ／ a is less than x is less than b ／ x is greater than a and less than b,中1|数I|Algebra 1,editorial,arithmetic,inequality,,
plus-minus-sign,±,プラスマイナス,plus or minus,中3|Algebra 1|Algebra 2,OpenStax 2565|CED-Stats 9|CK-12 4,arithmetic,,,
minus-plus-sign,∓,マイナスプラス（複号同順）,minus or plus ／ minus plus,数II|Precalculus,OpenStax 2,arithmetic,,加法定理 cos(α ± β) = cos α cos β ∓ sin α sin β。「複号同順」に当たる英語の言い方も要確認,
parenthesized-quantity,(a + b)² ／ 2(x + 3),かっこ a たす b の 2 乗 ／ 2 かっこ x たす 3,"the quantity a plus b, squared ／ a plus b, all squared ／ two times the quantity x plus three",中1|中3|Pre-Algebra|Algebra 1,editorial,arithmetic,parentheses,括弧の読み the quantity。probe は読みでしか拾えない,
square-brackets,[ ],大かっこ ／ ブラケット,"brackets ／ square brackets ／ open bracket, close bracket",中1|Pre-Algebra,OpenStax 3206,notation-other,parentheses,日本は ( ) 小・{ } 中・[ ] 大、米国は parentheses → brackets → braces で入れ子の順が違う,
curly-braces,{ },中かっこ,braces ／ curly braces ／ curly brackets,中1|Pre-Algebra,OpenStax 2105,notation-other,,,
percent-sign,25%,25 パーセント,twenty-five percent,中1|Pre-Algebra,OpenStax 3410|CED 96|CED-Stats 151|CK-12 16,arithmetic,percent,,
decimal-point,3.14,3 てん 1 4,three point one four,中1|Pre-Algebra,editorial,arithmetic,decimal,小数点以下を 1 桁ずつ読む,decimal-point-and-digit-grouping
repeating-decimal-bar,0.3̄（日本では 0.3̇）,0.3 の循環小数 ／ れい てん さん さん …,zero point three repeating ／ point three repeating ／ zero point three with a bar over the three,数I|Pre-Algebra|Algebra 1,editorial,arithmetic,repeating-decimal,日本は数字の上に点、米国は上線（vinculum）。上線の probe は線分 AB と区別できない,repeating-decimal-notation
scientific-notation-form,3.2 × 10⁵,3.2 かける 10 の 5 乗,three point two times ten to the fifth ／ three point two times ten to the fifth power,中1|Pre-Algebra|Algebra 1,OpenStax 503,arithmetic,scientific-notation,,
ratio-colon,a : b,a 対 b,a to b ／ the ratio of a to b,中1|Pre-Algebra,OpenStax 341,arithmetic,ratio,,
proportion-colon,a : b = c : d,a 対 b イコール c 対 d,a is to b as c is to d ／ the ratio of a to b equals the ratio of c to d,中1|Pre-Algebra,editorial,arithmetic,proportion,,
ellipsis,"1, 2, 3, … ／ a₁, a₂, …, aₙ",…（てんてんてん）,and so on ／ dot dot dot ／ all the way up to,中1|数B|Algebra 1|Algebra 2,OpenStax 1515|CK-12 30,notation-other,,,
absolute-value-bars,|x|,x の絶対値,the absolute value of x ／ absolute value of x,数I|Pre-Algebra|Algebra 1,OpenStax 6102,arithmetic,absolute-value,絶対値の語は中1、記号 |x| は数I。| は条件付き確率・集合の記法・a | b と共有,
equals-question-mark,3(2) + 1 ≟ 7,（検算で使う等号。日本では使わない）,does three times two plus one equal seven ／ is three times two plus one equal to seven,Pre-Algebra|Algebra 1,OpenStax 74|CK-12 25,notation-other,,米国の教科書の検算（Check）の記法,
wave-dash-range-jp,3〜5 ／ 10〜20（階級）,3 から 5 ／ 10 以上 20 未満,three to five ／ from three to five ／ between three and five,中1,editorial,notation-other,,JP-only: 日本の表記。米国の教科書では使わない（読みは米国の言い方を併記）。米国は 3–5（en dash）か 3 to 5、度数分布の階級は 10–20 や 10 to under 20,
fraction-a-over-b,a/b,b 分の a,a over b ／ a divided by b,中1|Pre-Algebra|Algebra 1,OpenStax 51165|CK-12 299,fractions,fraction,日本語は分母から、英語は分子から読む,
numeric-fraction,3/4 ／ 1/2,4 分の 3 ／ 2 分の 1,three fourths ／ three quarters ／ three over four ／ one half,中1|Pre-Algebra,editorial,fractions,fraction,分母を序数で読む。probe は a/b と区別できない,
mixed-number,2¾,2 と 4 分の 3（帯分数）,two and three fourths ／ two and three quarters,中1|Pre-Algebra,editorial,fractions,,日本では中学以降ほぼ使わない。米国は Pre-Algebra〜Algebra 1 でも使う,
rational-expression-fraction,(x + 1)/(x − 1),x − 1 分の x + 1,"x plus one over x minus one ／ the quantity x plus one over the quantity x minus one ／ x plus one, all over x minus one",数II|Algebra 1|Algebra 2,editorial,fractions,rational-expression,,
power-squared,x²,エックスの 2 乗,x squared ／ x to the second power,中1|中2|Pre-Algebra|Algebra 1,data/symbols|OpenStax 16|CK-12 707,exponents,,既存エントリ,
power-cubed,x³,x の 3 乗,x cubed ／ x to the third power ／ x to the third,中1|Pre-Algebra|Algebra 1,OpenStax 2|CK-12 53,exponents,power,,
power-fourth,x⁴,x の 4 乗,x to the fourth ／ x to the fourth power ／ x to the power of four,中1|Algebra 1|Algebra 2,editorial,exponents,power,"4 乗以上の数字の指数（to the fifth, to the sixth も同じ型）",
power-n,xⁿ,x の n 乗,x to the n ／ x to the nth power ／ x to the nth ／ x to the power of n,中1|数II|Algebra 1|Algebra 2,editorial,exponents,power,,
negative-exponent-power,x⁻¹ ／ x⁻ⁿ,x のマイナス 1 乗 ／ x のマイナス n 乗,x to the negative one ／ x to the negative first power ／ x to the negative n ／ x inverse,数II|Algebra 1|Algebra 2,editorial,exponents,negative-exponent,⁻¹ は f⁻¹・A⁻¹・sin⁻¹ と共有するので probe は空,
fractional-exponent,a^(1/n) ／ a^(m/n),a の n 分の 1 乗 ／ a の n 分の m 乗,a to the one over n ／ a to the one-nth power ／ a to the m over n ／ a raised to the m over n,数II|Algebra 2|Precalculus,editorial,exponents,rational-exponent,,
expression-exponent,2^(x+1),2 の x+1 乗,two to the x plus one ／ two to the power of x plus one ／ two raised to the quantity x plus one,数II|Algebra 2|Precalculus,editorial,exponents,power,指数が式のときの区切り方,
e-to-the-x,eˣ,e の x 乗,e to the x ／ e to the x power ／ e to the power of x,数III|Algebra 2|Precalculus|AP Calculus AB|Calculus I,editorial,exponents,exponential-function,,
exp-function,exp x ／ exp(x),エクスポネンシャル x,exp of x ／ the exponential of x ／ e to the x,大学|Calculus I|Calculus III,OpenStax 7,exponents,exponential-function,,
e-constant,e,e ／ ネイピア数,e ／ Euler's number ／ the number e,数III|Algebra 2|Precalculus|AP Calculus AB|Calculus I,学習指導要領〔用語・記号〕数III e,exponents,base-of-the-natural-logarithm,MEXT〔記号〕e。1 文字なので probe は空,
square-root,√(x² + 1),ルート x の 2 乗 プラス 1,the square root of x squared plus one ／ root x squared plus one,中3|数I|Algebra 1,学習指導要領〔用語・記号〕中3 √|data/symbols|OpenStax 11412|CK-12 219,roots,square-root-of-a-number,既存エントリ（term_ref は null）。MEXT〔記号〕√,
cube-root,∛x,3 乗根 x ／ x の 3 乗根,the cube root of x ／ cube root of x,数II|Algebra 2,OpenStax 2463|CK-12 2,roots,nth-root,,
