id,ja,ja_alt,en,en_alt,en_variants,pos,unit,domain,level_jp,level_us,mapping,source,wiki_ja,wiki_en,wikidata,ja_basis,ja_check,flag,note
positive-number,正の数,,positive number,,,noun,jp-chuugaku-1-seifu-no-suu,arithmetic,中1,Pre-Algebra,exact,wikidata,正の数と負の数,,Q200227,mext,ok,,
negative-number,負の数,,negative number,,,noun,jp-chuugaku-1-seifu-no-suu,arithmetic,中1,Pre-Algebra,exact,wikidata,正の数と負の数,,Q200227,mext,ok,,
positive-and-negative-numbers,正負の数,,positive and negative numbers,,,noun,jp-chuugaku-1-seifu-no-suu,arithmetic,中1,Pre-Algebra,near,editorial,,,,editorial,—,,単元名としての括り。米国では integers / signed numbers
sign,符号,,sign,,,noun,jp-chuugaku-1-seifu-no-suu,arithmetic,中1,Pre-Algebra,exact,editorial,符号,,Q188889,mext,ok,wiki-nonmath,
absolute-value,絶対値,,absolute value,,,noun,jp-chuugaku-1-seifu-no-suu,arithmetic,中1,Pre-Algebra,exact,wikidata,絶対値,,Q120812,mext,ok,,
number-line,数直線,,number line,,,noun,jp-chuugaku-1-seifu-no-suu,arithmetic,中1,Pre-Algebra,exact,editorial,,,,editorial,—,wiki-rejected,wiki 除外（英語照合不一致: 別の記事）: 直線 → Line (geometry) ／ en.term → Number line
origin,原点,,origin,,,noun,jp-chuugaku-1-seifu-no-suu,arithmetic,中1,Pre-Algebra,exact,editorial,,,,editorial,—,wiki-rejected,wiki 除外（英語照合不一致: en.term は曖昧さ回避）: 原点 (数学) → Origin (mathematics) ／ en.term → Origin
integer,整数,,integer,,,noun,jp-chuugaku-1-seifu-no-suu,arithmetic,中1,Pre-Algebra,exact,wikipedia-langlink,整数,Integer,Q12503,mext,ok,,
natural-number,自然数,,natural number,,,noun,jp-chuugaku-1-seifu-no-suu,arithmetic,中1,Pre-Algebra,near,wikipedia-langlink,自然数,Natural number,Q21199,mext,ok,,米国では 0 を含めるか教科書ごとに宣言する。counting number とも
opposite,反数,,opposite,,,noun,jp-chuugaku-1-seifu-no-suu,arithmetic,中1,Pre-Algebra,near,wikidata,反数,,Q715358,wikipedia,ok,,"additive inverse は代数以降。教室では ""the opposite of 3"""
addition,加法,,addition,,,noun,jp-chuugaku-1-seifu-no-suu,arithmetic,中1,Pre-Algebra,exact,wikidata,加法,,Q32043,mext,ok,,
subtraction,減法,,subtraction,,,noun,jp-chuugaku-1-seifu-no-suu,arithmetic,中1,Pre-Algebra,exact,wikidata,減法,,Q40754,mext,ok,,
multiplication,乗法,,multiplication,,,noun,jp-chuugaku-1-seifu-no-suu,arithmetic,中1,Pre-Algebra,exact,wikidata,乗法,,Q40276,mext,ok,,
division,除法,,division,,,noun,jp-chuugaku-1-seifu-no-suu,arithmetic,中1,Pre-Algebra,exact,wikidata,除法,,Q1226939,mext,ok,,
the-four-operations,四則,,the four operations,,,noun,jp-chuugaku-1-seifu-no-suu,arithmetic,中1,Pre-Algebra,near,editorial,算術,Arithmetic,Q11205,mext,ok,wiki-redirect,米国では単に operations。PEMDAS の文脈で arithmetic operations
reciprocal,逆数,,reciprocal,,,noun,jp-chuugaku-1-seifu-no-suu,arithmetic,中1,Pre-Algebra,exact,wikidata,逆数,,Q216906,wikipedia,ok,,
power,累乗,,power,,,noun,jp-chuugaku-1-seifu-no-suu,arithmetic,中1,Pre-Algebra,exact,editorial,冪乗,,Q33456,mext,ok,wiki-redirect,
exponent,指数,,exponent,,,noun,jp-chuugaku-1-seifu-no-suu,arithmetic,中1,Pre-Algebra,exact,editorial,,,,mext,ok,wiki-disambig,
base,底,,base,,,noun,jp-chuugaku-1-seifu-no-suu,arithmetic,中1,Pre-Algebra,exact,editorial,,,,editorial,—,wiki-rejected,wiki 除外（別概念）: 底 (初等幾何学) → Base (geometry)。底 (初等幾何学) は図形の底。累乗の底（base of a power）ではない
square,平方,,square,,,noun,jp-chuugaku-1-seifu-no-suu,arithmetic,中1,Pre-Algebra,exact,editorial,,,,mext,ok,wiki-disambig,
cube,立方,,cube,,,noun,jp-chuugaku-1-seifu-no-suu,arithmetic,中1,Pre-Algebra,exact,editorial,,,,editorial,—,,
prime-number,素数,,prime number,prime [suugaku-a-suugaku-to-ningen-no-katsudou],,noun,jp-chuugaku-1-seifu-no-suu,arithmetic,中1,Pre-Algebra,exact,wikipedia-langlink,素数,Prime number,Q49008,mext,ok,ja-merged,
prime-factorization,素因数分解,,prime factorization,,,noun,jp-chuugaku-1-seifu-no-suu,arithmetic,中1,Pre-Algebra,exact,wikidata,素因数分解,,Q4846249,wikipedia,ok,,
prime-factor,素因数,,prime factor,,,noun,jp-chuugaku-1-seifu-no-suu,arithmetic,中1,Pre-Algebra,exact,wikidata,素因数,,Q1137759,wikipedia,ok,,
commutative-property,交換法則,,commutative property,,,noun,jp-chuugaku-1-seifu-no-suu,arithmetic,中1,Pre-Algebra,near,wikipedia-langlink,交換法則,Commutative property,Q165474,wikipedia,ok,,米国では law より property
associative-property,結合法則,,associative property,,,noun,jp-chuugaku-1-seifu-no-suu,arithmetic,中1,Pre-Algebra,near,wikipedia-langlink,結合法則,Associative property,Q177251,wikipedia,ok,,同上
distributive-property,分配法則,,distributive property,,,noun,jp-chuugaku-1-seifu-no-suu,arithmetic,中1,Pre-Algebra,near,wikipedia-langlink,分配法則,Distributive property,Q187959,wikipedia,ok,,同上
